(0) Глубина манометра,(1) Dшт,(5) Руст,(7) Рлин,(8) Туст,(10) Тзаб,(14) Дебит воды,(16) Дебит гааз,(17) Дебит кон нестабильный,(18) Дебит воды,(19) Нэф,(20) Рпл. Тек (послед точка на КВД),(23) Pсб,(24) Pсб,(26) Ro_c,(28) Удельная плотность газа ,(29) G_total,(30) КГФ
0.7621827411167518,0.1668415529905562,0.5736040609137056,0.5725342723680062,0.5,0.4357965311179139,0.04795997302135126,0.07659934304167894,0.12638956017399713,0.04938271604938272,0.6299982604525644,0.6001994017946161,0.43783783783783753,0.43783783783783714,1.0,0.5850847527294065,0.0,0.7099371623425125
0.7621827411167518,0.3336831059811122,0.48223350253807107,0.58429032442785,0.6318181818181817,0.4066462614779193,0.16785990557472938,0.19778470139045207,0.19212179797003381,0.1728395061728395,0.6299982604525644,0.6001994017946161,0.4000000000000003,0.3999999999999997,1.0,0.5850847527294065,0.11230962474636368,0.6179575531016509
0.7621827411167518,0.4994753410283315,0.38071065989847713,0.5490221682483188,0.740909090909091,0.3483457221979302,0.22780987185141843,0.32406186559540096,0.22547124214596426,0.2345679012345679,0.6299982604525644,0.6001994017946161,0.3189189189189192,0.3189189189189189,1.0,0.5850847527294065,0.21260884145202197,0.46086523078993896
0.7621827411167518,0.6663168940188876,0.25888324873096447,0.517672696088736,0.765909090909091,0.26089491327794856,0.3956697774261478,0.4599197738567298,0.24770420492991782,0.4074074074074074,0.6299982604525644,0.6001994017946161,0.20000000000000015,0.19999999999999984,1.0,0.5850847527294065,0.2988329514621383,0.3612996743951919
0.7621827411167518,0.8331584470094437,0.16751269035532995,0.5274694061386057,0.75,0.6106981489578792,0.5515396897455394,0.5421732395975827,0.2696955050749154,0.5802469135802469,0.6299982604525644,0.6001994017946161,0.22702702702702718,0.22702702702702704,1.0,0.5850847527294065,0.3660130647461803,0.3281111555969428
0.7621827411167518,0.3336831059811122,0.3223350253807107,0.658549386605862,0.6022727272727273,0.35417577612592993,0.07193995953202688,0.13038735259995496,0.09666505558240696,0.07407407407407407,0.6299982604525644,0.39951694915254243,0.2810810810810812,0.28108108108108065,0.6056338028168995,0.7365026634289518,0.03607021330975981,0.43063901057523
0.9923857868020305,0.1668415529905562,0.5888324873096447,0.5679392993317144,0.5681818181818182,0.7418743623378516,0.0,0.11071669754636285,0.027549540840985997,0.0,0.6394012195637968,0.2756729810568295,0.8324324324324327,0.8324324324324325,0.5070422535211264,0.3000566406562396,,0.22098056628047616
0.9923857868020305,0.3336831059811122,0.5786802030456852,0.602366834584386,0.6818181818181818,0.7272992275178555,0.0,0.2362556492528268,0.09424842919284679,0.0,0.6394012195637968,0.2756729810568295,0.7891891891891889,0.7891891891891883,0.5070422535211264,0.3000566406562396,,0.1815197508732483
0.9923857868020305,0.4994753410283315,0.5279187817258884,0.6467680527136335,0.7727272727272727,0.7272992275178555,0.12164839762387829,0.38515350383543145,0.16191396810053166,0.1234567901234568,0.6394012195637968,0.2756729810568295,0.8918918918918919,0.891891891891892,0.5070422535211264,0.3000566406562396,,0.14600501700674318
0.9923857868020305,0.6663168940188876,0.467005076142132,0.6968513626718058,0.25,0.7127240926978571,0.16527220810180052,0.5299994805284757,0.2332044465925568,0.1728395061728395,0.6394012195637968,0.2756729810568295,0.9891891891891891,0.989189189189189,0.5070422535211264,0.3000566406562396,,0.11838244622168366
